Código;Nombre común;Nombre científico;Tipo de planta;polinizacion;nivel_alergenico;toxicidad_mascotas;tipo_hoja;Estado
TAX;Taray;Tamarix sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
TBA;Tejo;Taxus baccata;CONIFERA;VIENTO;2;TOXICO;PERENNE;ACTIVO
TFO;Palma de Fortune;Trachycarpus fortunei;PALMACEA;MIXTA;1;TOXICO;PERENNE;ACTIVO
TFR;Olivilla;Teucrium fruticans;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
TGA;Taray;Tamarix gallica;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
THX;Tuya;Thuja sp;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
YAL;Yuca pinchuda;Yucca aloifolia;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TIC;Tilo de hoja pequeña;Tilia cordata;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
TIE;Tilo;Tilia x europaea;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
TIP;Tilo de hojas grandes;Tilia platyphyllos;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
UMIV;Olmo común;Ulmus minor 'Dehesa de la Villa';FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
TIX;Tilos;Tilia sp;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
TOC;Tuya occidental;Thuja occidentalis;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
SVUC;Lilo;Syringa vulgaris 'Charles Joly';ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
UAM;Olmo americana;Ulmus americana;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UGL;Olmo de montaña;Ulmus glabra;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UHO;Olmo de Holanda;Ulmus x hollandica;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
