num_barrio;nombre_barrio;superficie_km2;poblacion
11;PALACIO;1.47;22524
12;EMBAJADORES;1.03;44807
13;CORTES;0.59;10565
14;JUSTICIA;0.74;16169
15;UNIVERSIDAD;0.95;31334
16;SOL;0.45;7260
21;IMPERIAL;0.97;22358
22;ACACIAS;1.07;35765
23;CHOPERA;0.57;20030
24;LEGAZPI;1.41;19557
25;DELICIAS;1.05;26879
26;PALOS DE LA FRONTERA;0.65;25531
27;ATOCHA;0.74;1031
31;PACIFICO;0.76;33569
32;ADELFAS;0.64;19064
33;ESTRELLA;1.03;23281
34;IBIZA;0.49;21006
35;LOS JERONIMOS;1.91;7112
36;NIÑO JESUS;0.64;15250
41;RECOLETOS;0.87;15567
42;GOYA;0.77;29284
43;FUENTE DEL BERRO;0.85;21154
44;GUINDALERA;1.60;41257
45;LISTA;0.52;19995
46;CASTELLANA;0.77;17085
51;EL VISO;1.71;16941
52;PROSPERIDAD;1.04;37172
53;CIUDAD JARDIN;0.76;18139
54;HISPANOAMERICA;1.71;31282
55;NUEVA ESPAÑA;1.79;24237
56;CASTILLA;2.16;16836
61;BELLAS VISTAS;0.72;27837
62;CUATRO CAMINOS;1.19;33815
63;CASTILLEJOS;0.70;20409
64;ALMENARA;1.00;22218
65;VALDEACEDERAS;1.16;25100
66;BERRUGUETE;0.61;24606
71;GAZTAMBIDE;0.51;23163
72;ARAPILES;0.58;24537
73;TRAFALGAR;0.61;24207
74;ALMAGRO;0.94;19244
75;RIOS ROSAS;0.98;25892
76;VALLEHERMOSO;1.07;19574
81;EL PARDO;187.58;3393
82;FUENTELARREINA;1.38;2923
83;PEÑAGRANDE;2.89;44686
84;PILAR;1.36;45602
85;LA PAZ;2.15;33568
86;VALVERDE;8.98;59661
87;MIRASIERRA;6.99;31228
88;EL GOLOSO;26.49;17458
91;CASA DE CAMPO;17.48;12861
92;ARGÜELLES;0.76;23531
93;CIUDAD UNIVERSITARIA;14.25;16175
94;VALDEZARZA;1.40;28393
95;VALDEMARIN;3.30;6494
96;EL PLANTIO;3.55;2718
97;ARAVACA;5.85;25643
101;LOS CARMENES;1.29;16946
102;PUERTA DEL ANGEL;1.38;40913
103;LUCERO;1.68;34850
104;ALUCHE;2.85;65089
105;CAMPAMENTO;9.17;18810
106;CUATRO VIENTOS;5.43;5447
107;AGUILAS;3.61;50675
111;COMILLAS;0.67;21981
112;OPAÑEL;1.11;31126
113;SAN ISIDRO;1.90;37983
114;VISTA ALEGRE;1.59;43246
115;PUERTA BONITA;1.61;33190
116;BUENAVISTA;5.61;45357
117;ABRANTES;1.56;29484
121;ORCASITAS;1.36;22848
122;ORCASUR;1.39;13029
123;SAN FERMIN;1.48;23512
124;ALMENDRALES;0.78;21438
125;MOSCARDO;0.91;25655
126;ZOFIO;0.77;13519
127;PRADOLONGO;1.10;16955
131;ENTREVIAS;5.97;33664
132;SAN DIEGO;1.07;39614
133;PALOMERAS BAJAS;1.72;39434
134;PALOMERAS SURESTE;3.11;42827
135;PORTAZGO;1.25;27782
136;NUMANCIA;1.85;46633
141;PAVONES;1.01;9206
142;HORCAJO;0.75;6576
143;MARROQUINA;1.79;27986
144;MEDIA LEGUA;1.00;17449
145;FONTARRON;0.96;16441
146;VINATEROS;0.59;16599
151;VENTAS;3.20;47014
152;PUEBLO NUEVO;2.32;59926
153;QUINTANA;0.72;24627
154;LA CONCEPCIÓN;0.89;20224
155;SAN PASCUAL;1.05;17980
156;SAN JUAN BAUTISTA;1.01;12017
157;COLINA;0.56;6119
158;ATALAYA;0.25;1553
159;COSTILLARES;1.43;21738
161;PALOMAS;1.07;6263
162;PIOVERA;3.14;14448
163;CANILLAS;2.52;39907
164;PINAR DEL REY;2.66;52450
165;APOSTOL SANTIAGO;1.21;15217
166;VALDEFUENTES;17.02;57888
171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;9.25;44209
172;SAN CRISTOBAL;1.08;15089
173;BUTARQUE;6.38;17273
174;LOS ROSALES;1.54;37230
175;ANGELES;1.94;27374
181;CASCO HISTORICO DE VALLECAS;43.03;69830
182;SANTA EUGENIA;2.08;24593
183;ENSANCHE DE VALLECAS;6.34;51129
191;CASCO HISTORICO DE VICALVARO;21.50;33676
192;VALDEBERNARDO;2.56;19416
193;VALDERRIVAS;0.64;17867
194;EL CAÑAVERAL;10.57;8944
201;SIMANCAS;2.28;26342
202;HELLIN;0.55;8684
203;AMPOSTA;0.37;8225
204;ARCOS;1.31;23663
205;ROSAS;9.29;31627
206;REJAS;5.02;15879
207;CANILLEJAS;1.60;27847
208;EL SALVADOR;1.88;11493
211;ALAMEDA DE OSUNA;2.03;19897
212;AEROPUERTO;29.66;2666
213;CASCO HISTORICO DE BARAJAS;0.55;6272
214;TIMON;4.80;3225
215;CORRALEJOS;4.67;7369
992;POZUELO DE ALARCÓN;;
