ASSETNUM;NUM_DTO;NUM_BARRIO;CODIGO_ESPECIE;PERIMETRO;NUM_PARQUE;ALTURA_TOTAL;edad_arbol;estado_sanitario;riesgo_caida;necesidad_poda;fecha_ultima_poda;coste_mantenimiento
9682586;16;166;ZJU;9.4;16;3;1;SANO;BAJO;0;;30.34
9682598;16;166;ZJU;9.4;16;3;9;SANO;BAJO;0;2024-12-06;39.1
9682559;16;166;ZJU;9.4;16;3;8;SANO;BAJO;0;2025-05-10;71.16
9682632;16;166;ZJU;9.4;16;3;13;SANO;BAJO;0;2025-05-25;28.94
9682690;16;166;ZJU;9.4;16;3;8;SANO;BAJO;0;2025-04-19;72.16
9682638;16;166;ZJU;9.4;16;3;8;SANO;BAJO;0;2025-08-05;61.45
9682697;16;166;ZJU;9.4;16;2;11;SANO;BAJO;1;2023-08-09;77.04
9682696;16;166;ZJU;9.4;16;3;16;SANO;BAJO;1;2024-07-18;85.84
9682704;16;166;ZJU;9.4;16;2;12;SANO;BAJO;0;2025-05-10;10.54
9682647;16;166;ZJU;9.4;16;3;9;SANO;BAJO;0;2025-01-04;60.39
9682507;16;166;ZJU;9.4;16;3;9;SANO;BAJO;0;2025-09-17;48.48
9682722;16;166;ZJU;9.4;16;3;14;SANO;BAJO;0;2024-12-04;45.31
9682661;16;166;ZJU;9.4;16;2;7;SANO;BAJO;1;2023-11-16;64.04
9682732;16;166;ZJU;9.4;16;3;1;SANO;BAJO;0;;36.57
9682741;16;166;ZJU;9.4;16;3;7;SANO;BAJO;0;2025-09-25;36.92
9682775;16;166;ZJU;9.4;16;2;3;SANO;BAJO;0;2025-05-04;26.24
9682713;16;166;ZJU;9.4;16;3;13;SANO;BAJO;0;2025-12-06;52.22
9682574;16;166;ZJU;9.4;16;3;15;SANO;BAJO;0;2025-10-28;23.39
9682581;16;166;ZJU;9.4;16;3;14;SANO;BAJO;0;2024-11-28;59.17
9682607;16;166;ZJU;9.4;16;3;16;SANO;BAJO;0;2025-07-05;49.84
9682686;16;166;ZJU;9.4;16;3;12;SANO;BAJO;0;2025-07-27;27.88
9683439;16;166;AMO;9.4;16;5;11;SANO;BAJO;0;2025-02-28;24.58
9683283;16;166;ACA;9.4;16;5;21;SANO;BAJO;0;2025-08-25;45.88
9943392;17;171;PPI;86.4;0;8;25;SANO;BAJO;0;2025-01-22;94.57
9943413;17;171;PPI;83.7;0;6;22;SANO;BAJO;0;2025-04-12;92.34
5724059;9;91;CAU;72.5;2;6;22;SANO;BAJO;1;2023-06-06;110.35
10034422;12;123;UPU;71.8;0;6;15;SANO;BAJO;1;2023-06-02;88.32
10034421;12;123;UPU;70.08;0;11;33;SANO;MEDIO;1;2022-07-29;140.72
5724102;9;91;SJA;69.5;2;6;23;SANO;MEDIO;1;2024-04-17;125.0
9943417;17;171;PPI;63.9;0;7;18;SANO;BAJO;0;2025-08-22;68.78
9950000;17;171;UPU;60.7;0;5;21;SANO;BAJO;0;2025-04-06;69.26
9943381;17;171;PDU;60.2;0;5;19;SANO;BAJO;0;2025-11-17;43.38
9683291;16;166;QIL;6.2;16;2;9;SANO;BAJO;0;2025-07-19;45.6
9683301;16;166;QIL;6.2;16;2;1;SANO;BAJO;0;;26.65
